source_file,Algorithm,Function,__rows,Best__sum,Best__count,Best__min,Best__max,AvgRestart__sum,AvgRestart__count,AvgRestart__min,AvgRestart__max,Best__mean,AvgRestart__mean
results\cec\cec2017_summary_results.csv,ARPSO-v4,CEC2017-F27,1,491.88255274733,1,491.88255274733,491.88255274733,74.0,1,74.0,74.0,491.88255274733,74.0
results\cec\cec2017_summary_results.csv,ARPSO-v4,CEC2017-F28,1,1.3642420526593924e-12,1,1.3642420526593924e-12,1.3642420526593924e-12,72.43333333333334,1,72.43333333333334,72.43333333333334,1.3642420526593924e-12,72.43333333333334
results\cec\cec2017_summary_results.csv,ARPSO-v4,CEC2017-F29,1,2257.9489370584342,1,2257.9489370584342,2257.9489370584342,61.03333333333333,1,61.03333333333333,61.03333333333333,2257.9489370584342,61.03333333333333
results\cec\cec2017_summary_results.csv,ARPSO-v4,CEC2017-F3,1,5.684341886080803e-14,1,5.684341886080803e-14,5.684341886080803e-14,74.0,1,74.0,74.0,5.684341886080803e-14,74.0
results\cec\cec2017_summary_results.csv,ARPSO-v4,CEC2017-F30,1,16127.499751294876,1,16127.499751294876,16127.499751294876,71.93333333333334,1,71.93333333333334,71.93333333333334,16127.499751294876,71.93333333333334
results\cec\cec2017_summary_results.csv,ARPSO-v4,CEC2017-F4,1,28.99590322381556,1,28.99590322381556,28.99590322381556,73.93333333333334,1,73.93333333333334,73.93333333333334,28.99590322381556,73.93333333333334
results\cec\cec2017_summary_results.csv,ARPSO-v4,CEC2017-F5,1,75.6166964464395,1,75.6166964464395,75.6166964464395,74.0,1,74.0,74.0,75.6166964464395,74.0
results\cec\cec2017_summary_results.csv,ARPSO-v4,CEC2017-F6,1,6.924665285623631e-10,1,6.924665285623631e-10,6.924665285623631e-10,72.03333333333333,1,72.03333333333333,72.03333333333333,6.924665285623631e-10,72.03333333333333
results\cec\cec2017_summary_results.csv,ARPSO-v4,CEC2017-F7,1,105.31002558737303,1,105.31002558737303,105.31002558737303,74.0,1,74.0,74.0,105.31002558737303,74.0
results\cec\cec2017_summary_results.csv,ARPSO-v4,CEC2017-F8,1,86.0,1,86.0,86.0,60.4,1,60.4,60.4,86.0,60.4
results\cec\cec2017_summary_results.csv,ARPSO-v4,CEC2017-F9,1,2.273736754432321e-13,1,2.273736754432321e-13,2.273736754432321e-13,74.0,1,74.0,74.0,2.273736754432321e-13,74.0
results\cec\cec2017_summary_results.csv,CLPSO,CEC2017-F1,1,251.7529034247025,1,251.7529034247025,251.7529034247025,0.0,1,0.0,0.0,251.7529034247025,0.0
results\cec\cec2017_summary_results.csv,CLPSO,CEC2017-F10,1,-6818.082307167297,1,-6818.082307167297,-6818.082307167297,0.0,1,0.0,0.0,-6818.082307167297,0.0
results\cec\cec2017_summary_results.csv,CLPSO,CEC2017-F11,1,1918.463018534053,1,1918.463018534053,1918.463018534053,0.0,1,0.0,0.0,1918.463018534053,0.0
results\cec\cec2017_summary_results.csv,CLPSO,CEC2017-F12,1,84891.36693056293,1,84891.36693056293,84891.36693056293,0.0,1,0.0,0.0,84891.36693056293,0.0
results\cec\cec2017_summary_results.csv,CLPSO,CEC2017-F13,1,2675.393994976805,1,2675.393994976805,2675.393994976805,0.0,1,0.0,0.0,2675.393994976805,0.0
results\cec\cec2017_summary_results.csv,CLPSO,CEC2017-F14,1,6211.281215037693,1,6211.281215037693,6211.281215037693,0.0,1,0.0,0.0,6211.281215037693,0.0
results\cec\cec2017_summary_results.csv,CLPSO,CEC2017-F15,1,9129.092103798976,1,9129.092103798976,9129.092103798976,0.0,1,0.0,0.0,9129.092103798976,0.0
results\cec\cec2017_summary_results.csv,CLPSO,CEC2017-F16,1,-800.0319082889639,1,-800.0319082889639,-800.0319082889639,0.0,1,0.0,0.0,-800.0319082889639,0.0
