source_file,Algorithm,FunctionID,Function,CurveBin,__rows,BestFitness__min,BestError__min,BestFitness__max,BestError__max
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,10,F10,62,180,20087.51122992688,19087.51122992688,163251.3922716945,162251.3922716945
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,10,F10,63,240,15051.34268850729,14051.34268850729,154733.97755031308,153733.97755031308
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,10,F10,64,270,4935.986266403446,3935.9862664034463,153053.9212657834,152053.9212657834
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,10,F10,65,238,1765.6570430508075,765.6570430508077,147713.05422894354,146713.05422894354
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,11,F11,44,30,325844913.19935083,325843813.19935083,1390848848.9269528,1390847748.9269528
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,11,F11,48,30,249337067.6322184,249335967.6322184,1312953129.076743,1312952029.076743
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,11,F11,50,30,215911572.97491336,215910472.97491336,1204626202.0738895,1204625102.0738895
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,11,F11,51,30,147561784.13809392,147560684.13809392,1204626202.0738895,1204625102.0738895
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,11,F11,52,30,147561784.13809392,147560684.13809392,1204626202.0738895,1204625102.0738895
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,11,F11,53,30,127112345.15832125,127111245.15832125,1165303773.3903258,1165302673.3903258
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,11,F11,54,30,103545440.44235064,103544340.44235064,496707011.8710215,496705911.8710215
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,11,F11,55,60,82367721.18274066,82366621.18274066,284827502.6416603,284826402.6416603
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,11,F11,56,60,37832479.83487019,37831379.83487019,261388232.9284821,261387132.9284821
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,11,F11,57,60,28613553.368638724,28612453.368638724,261388232.9284821,261387132.9284821
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,11,F11,58,90,11975460.976357635,11974360.976357635,237496013.7231896,237494913.7231896
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,11,F11,59,90,6605941.932148165,6604841.932148165,156562195.74490783,156561095.74490783
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,11,F11,60,150,279367.50878236693,278267.50878236693,48754463.73416545,48753363.73416545
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,11,F11,61,150,92573.37682469888,91473.37682469888,23696084.33099027,23694984.33099027
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,11,F11,62,180,42152.14196851251,41052.14196851251,22900035.117510147,22898935.117510147
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,11,F11,63,240,24157.55104525342,23057.55104525342,22782651.75194752,22781551.75194752
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,11,F11,64,270,20560.313249325565,19460.313249325565,22781229.147295028,22780129.147295028
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,11,F11,65,239,18126.089957345088,17026.089957345088,22781091.417607803,22779991.417607803
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,12,F12,44,30,101889697.56432554,101888497.56432554,1096980540.1763384,1096979340.1763384
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,12,F12,48,30,49864690.88228846,49863490.88228846,477106735.4733349,477105535.4733349
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,12,F12,50,30,40983518.00111466,40982318.00111466,384904738.0507552,384903538.0507552
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,12,F12,51,30,26296460.365444276,26295260.365444276,307786392.5585089,307785192.5585089
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,12,F12,52,30,26296460.365444276,26295260.365444276,202851781.29463524,202850581.29463524
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,12,F12,53,30,11184969.99468796,11183769.99468796,202851781.29463524,202850581.29463524
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,12,F12,54,30,11184969.99468796,11183769.99468796,155235306.84571424,155234106.84571424
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,12,F12,55,60,7682159.154748295,7680959.154748295,155150518.22326896,155149318.22326896
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,12,F12,56,60,3250892.19901225,3249692.19901225,95388842.98527595,95387642.98527595
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,12,F12,57,60,2336747.813773489,2335547.813773489,87090960.134078,87089760.134078
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,12,F12,58,90,1219641.8515708228,1218441.8515708228,76738239.29124212,76737039.29124212
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,12,F12,59,90,322944.55514530087,321744.55514530087,67938846.1259979,67937646.1259979
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,12,F12,60,150,114562.2910653358,113362.2910653358,67477985.96927486,67476785.96927486
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,12,F12,61,150,48005.13190987916,46805.13190987916,20018627.885539632,20017427.885539632
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,12,F12,62,180,47888.886044588944,46688.886044588944,13832229.912312834,13831029.912312834
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,12,F12,63,240,47888.886044588944,46688.886044588944,13651799.357955793,13650599.357955793
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,12,F12,64,270,47888.886044588944,46688.886044588944,2625346.739586689,2624146.739586689
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,12,F12,65,238,47888.886044588944,46688.886044588944,2621979.326346117,2620779.326346117
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,13,F13,44,30,680904.690090623,679604.690090623,10904094.933429416,10902794.933429416
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,13,F13,48,30,335524.8822140952,334224.8822140952,6898476.586312966,6897176.586312966
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,13,F13,50,30,286214.9764327972,284914.9764327972,5019392.673542115,5018092.673542115
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,13,F13,51,30,272883.1390620691,271583.1390620691,3602161.040867486,3600861.040867486
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,13,F13,52,30,272883.1390620691,271583.1390620691,1964072.397604514,1962772.397604514
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,13,F13,53,30,270781.4842853762,269481.4842853762,1401096.8345547258,1399796.8345547258
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,13,F13,54,30,237166.65331738556,235866.65331738556,825379.2141130003,824079.2141130003
